siret,nomOrganisme,raisonSociale
1001,Poulet d'Or,SA Production de volailles de Bresse
1002,Fromagerie des Alpes,SARL Affinage de raclette traditionnelle
1003,Eco-Formation,Institut de formation continue
1004,TransLog,Transport frigorifique international
1005,AgriSud,Coopérative agricole du Sud
1006,Bureau-Pro,Services administratifs
1007,Tech-Food,Recherche et développement alimentaire
1008,Savoie-Qualité,Organisme de contrôle sanitaire
1009,Boucherie Centrale,Artisan boucher-charcutier
1010,Viti-Club,Domaine viticole partenaire
1011,Distrib-Plus,Grossiste alimentaire
1012,Mairie de Paris,Administration publique
1013,Université du Fromage,Enseignement supérieur
1014,Design-Pack,Conception d'emballages
1015,Net-Service,Entretien industriel
1016,Froid-Lux,Installation de chambres froides
1017,Cuisin-Art,École de cuisine gastronomique
1018,Assu-Food,Assurances professionnelles
1019,Com-Tenrac,Agence de communication
1020,Web-Raclette,Plateforme de vente en ligne
